2025-10-20T09:00:00Z,1,101
2025-10-20T09:05:00Z,2,101
2025-10-20T09:10:00Z,1,102
2025-10-20T09:20:00Z,4,103
2025-10-20T09:25:00Z,5,103
2025-10-20T09:30:00Z,1,104
2025-10-20T09:35:00Z,3,104
2025-10-20T09:40:00Z,2,105
2025-10-20T09:45:00Z,4,105
2025-10-20T09:50:00Z,1,106
2025-10-20T09:55:00Z,5,106
2025-10-20T10:00:00Z,3,107
2025-10-20T10:05:00Z,4,107
2025-10-20T10:10:00Z,1,108
2025-10-20T10:15:00Z,2,108
2025-10-20T10:20:00Z,1,201
2025-10-20T10:25:00Z,2,202
2025-10-20T10:30:00Z,4,203
2025-10-20T10:35:00Z,3,204
2025-10-20T10:35:00Z,1,304
